"business_id","Score","date","type"
18954,"94","20130208","routine"
1896,"96","20130107","routine"
1898,"94","20130326","routine"
18981,"82","20130327","routine"
1899,"100","20130322","routine"
1900,"88","20130123","routine"
19002,"98","20130301","routine"
19055,"100","20130131","routine"
19056,"100","20130131","routine"
19057,"100","20130131","routine"
19058,"79","20130131","routine"
19059,"93","20130424","routine"
19060,"96","20130424","routine"
19061,"92","20130424","routine"
19063,"88","20130424","routine"
19064,"92","20130424","routine"
19076,"81","20130326","routine"
19082,"100","20130424","routine"
19094,"86","20130212","routine"
19109,"93","20130314","routine"
1912,"83","20130506","routine"
19146,"75","20130430","routine"
1915,"90","20130328","routine"
1916,"100","20130330","routine"
19169,"100","20130426","routine"
19170,"96","20130429","routine"
19176,"96","20130326","routine"
192,"96","20130419","routine"
19205,"100","20130329","routine"
19207,"88","20130115","routine"
1924,"94","20130507","routine"
1926,"92","20130322","routine"
19269,"100","20130129","routine"
1927,"100","20130108","routine"
19271,"79","20130111","routine"
19277,"100","20130225","routine"
1928,"96","20130328","routine"
1930,"89","20130319","routine"
1935,"92","20130129","routine"
19354,"90","20130312","routine"
1936,"98","20130213","routine"
19380,"91","20130308","routine"
19384,"100","20130205","routine"
194,"90","20130107","routine"
19403,"98","20130222","routine"
19418,"100","20130308","routine"
19426,"94","20130509","routine"
19440,"80","20130308","routine"
1948,"94","20130322","routine"
19488,"76","20130411","routine"
1952,"85","20130123","routine"
1954,"88","20130220","routine"
1957,"94","20130207","routine"
1958,"92","20130320","routine"
1959,"81","20130410","routine"
1960,"79","20130326","routine"
1964,"92","20130306","routine"
19641,"90","20130108","routine"
1972,"90","20130219","routine"
1973,"90","20130114","routine"
1977,"90","20130214","routine"
1978,"81","20130107","routine"
1994,"96","20130205","routine"
2002,"100","20130423","routine"
2004,"89","20130206","routine"
2008,"84","20130328","routine"
201,"90","20130415","routine"
20116,"90","20130116","routine"
2016,"91","20130321","routine"
2020,"76","20130206","routine"
2027,"87","20130205","routine"
2030,"94","20130214","routine"
20367,"89","20130327","routine"
2040,"82","20130107","routine"
2042,"100","20130327","routine"
2050,"98","20130410","routine"
2053,"90","20130124","routine"
2057,"77","20130124","routine"
2060,"85","20130510","routine"
20625,"87","20130123","routine"
20698,"75","20130220","routine"
2071,"88","20130131","routine"
2072,"91","20130312","routine"
2075,"100","20130124","routine"
2076,"88","20130124","routine"
20824,"94","20130212","routine"
20825,"93","20130212","routine"
2085,"94","20130419","routine"
2104,"79","20130418","routine"
2105,"92","20130422","routine"
2106,"86","20130130","routine"
2109,"86","20130325","routine"
2115,"85","20130501","routine"
2117,"92","20130109","routine"
2132,"94","20130111","routine"
2135,"96","20130315","routine"
2136,"100","20130412","routine"
21429,"92","20130510","routine"
2144,"89","20130111","routine"
2145,"90","20130426","routine"
2148,"96","20130314","routine"
2150,"96","20130326","routine"
2155,"100","20130107","routine"
21581,"86","20130513","routine"
21583,"94","20130206","routine"
216,"100","20130306","routine"
2165,"92","20130212","routine"
217,"100","20130207","routine"
21807,"94","20130213","routine"
2189,"80","20130124","routine"
219,"92","20130412","routine"
2198,"80","20130326","routine"
2200,"85","20130103","routine"
2201,"71","20130319","routine"
221,"91","20130131","routine"
2216,"70","20130115","routine"
22177,"92","20130417","routine"
2219,"94","20130116","routine"
2223,"79","20130114","routine"
2240,"100","20130115","routine"
2252,"100","20130213","routine"
2257,"93","20130307","routine"
22592,"91","20130409","routine"
226,"86","20130326","routine"
22606,"90","20130408","routine"
2261,"90","20130425","routine"
2262,"92","20130425","routine"
2266,"98","20130416","routine"
2273,"80","20130122","routine"
2274,"98","20130220","routine"
2276,"100","20130107","routine"
2279,"94","20130124","routine"
2293,"96","20130108","routine"
2298,"90","20130304","routine"
2299,"98","20130327","routine"
230,"64","20130124","routine"
2307,"90","20130129","routine"
2309,"98","20130111","routine"
2312,"91","20130213","routine"
2315,"89","20130315","routine"
2317,"100","20130415","routine"
2326,"96","20130509","routine"
234,"86","20130506","routine"
2343,"100","20130312","routine"
2345,"89","20130314","routine"
2346,"100","20130318","routine"
2347,"100","20130318","routine"
2351,"93","20130325","routine"
2352,"80","20130424","routine"
2360,"72","20130416","routine"
2362,"81","20130430","routine"
23653,"89","20130325","routine"
23702,"90","20130225","routine"
23704,"92","20130125","routine"
2373,"89","20130108","routine"
2375,"87","20130109","routine"
2385,"96","20130222","routine"
2387,"85","20130213","routine"
2388,"85","20130108","routine"
2401,"75","20130422","routine"
24023,"90","20130214","routine"
24024,"96","20130214","routine"
24025,"90","20130214","routine"
2404,"96","20130124","routine"
2407,"98","20130227","routine"
2409,"94","20130509","routine"
2418,"85","20130227","routine"
24198,"94","20130207","routine"
2426,"93","20130124","routine"
24278,"100","20130424","routine"
2428,"64","20130403","routine"
24308,"98","20130315","routine"
24309,"92","20130122","routine"
24457,"84","20130409","routine"
2447,"98","20130312","routine"
